docId,filename,0 говорить это человек ваш весь,1 весь глаз это рука дорога,2 говорить глаз рука стол делать,3 это год который жена мой,4 спать видеть жить один голова,5 такой знать весь свой ты,6 рубль человек свой какой взять,7 это писать человек лицо самый
28,lemma_V429_Anuta.txt,0.04342463,0.04326214,0.05396455,0.05256343,0.20049773,0.08235914,0.42128044,0.10264794
29,lemma_V430_Neobkhodimoe_pr.txt,0.10678763,0.08077671,0.10696508,0.11992021,0.23734093,0.1254496,0.14185224,0.0809076
30,lemma_V431_Nechto_sereznoe.txt,0.05412505,0.05083304,0.05874889,0.48875741,0.09953251,0.09908642,0.06262012,0.08629655
31,lemma_V432_Akterskaya_gibe.txt,0.03378251,0.36587309,0.03585441,0.05548634,0.16800532,0.13161907,0.18554081,0.02383846
32,lemma_V433_V_vagone_(Razgo.txt,0.1508368,0.08116332,0.04196956,0.16379349,0.04608465,0.21700234,0.11484341,0.18430643
33,lemma_V434_Myslitel.txt,0.34091286,0.08663507,0.13269432,0.02833548,0.04234191,0.11116486,0.19967027,0.05824523
34,lemma_V435_Zabludshie.txt,0.10200088,0.06614094,0.09454665,0.03718884,0.50957099,0.11999905,0.02695504,0.04359761
35,lemma_V436_Eger.txt,0.41296517,0.23403672,0.10159482,0.04187691,0.05149922,0.06412388,0.05048858,0.04341471
36,lemma_V437_Zloumyshlennik.txt,0.2143366,0.48617856,0.09736755,0.02680204,0.01947937,0.04463638,0.0849704,0.02622912
37,lemma_V438_ZHenikh_i_papen.txt,0.10764101,0.08183309,0.02006097,0.37073868,0.11842641,0.22152246,0.03533422,0.04444315
38,lemma_V439_Gost_.txt,0.02803785,0.05714937,0.03842279,0.09331031,0.43857139,0.23994781,0.03841931,0.06614116
39,lemma_V440_Cinik.txt,0.04140193,0.15545273,0.10787878,0.03845779,0.05559236,0.50547588,0.05480244,0.04093808
40,lemma_V441_Moya_ona.txt,0.12239921,0.06329504,0.07558847,0.21022318,0.13403853,0.14786532,0.07308005,0.1735102
41,lemma_V442_Novogodnie_veli.txt,0.30816466,0.07067858,0.05666732,0.05077255,0.29831633,0.04295334,0.11095519,0.06149203
42,lemma_V443_Kon_i_trepetnay.txt,0.05880564,0.06220214,0.06273393,0.11720285,0.18585047,0.19381651,0.11271035,0.20667809
43,lemma_V444_Delec.txt,0.07639592,0.07018825,0.12636039,0.24939357,0.06382015,0.13983632,0.18328575,0.09071965
44,lemma_V445_Utoplennik_(Sce.txt,0.09596406,0.06384665,0.22140787,0.05045838,0.03416471,0.07049774,0.385308,0.07835259
45,lemma_V446_Reklama.txt,0.08165156,0.07161738,0.06216596,0.15961885,0.14052392,0.13154522,0.25314047,0.09973664
46,lemma_V447_Svistuny.txt,0.18992603,0.0589999,0.08343688,0.02677574,0.05079594,0.40678618,0.09526332,0.08801601
47,lemma_V448_Otec_semeistva.txt,0.05247246,0.06062449,0.2360884,0.09886578,0.07341909,0.31244784,0.04424596,0.12183598
48,lemma_V449_Starosta_(Scenk.txt,0.54824689,0.0540849,0.04032148,0.05969314,0.02429781,0.18418224,0.06561886,0.02355468
49,lemma_V450_Unter_Prishibee.txt,0.65674038,0.03849685,0.03690955,0.04151323,0.07001366,0.07994367,0.03260705,0.0437756
50,lemma_V451_Mertvoe_telo.txt,0.10461899,0.52552812,0.1326941,0.02304547,0.08504403,0.041975,0.04143679,0.0456575
51,lemma_V452_ZHenskoe_schast.txt,0.3152563,0.09947756,0.03160171,0.13472313,0.04053987,0.18218346,0.04441164,0.15180631
52,lemma_V453_Indeiskii_petuk.txt,0.05812936,0.06178453,0.1147243,0.02991741,0.10429559,0.13413697,0.45659778,0.04041405
53,lemma_V454_Nervy.txt,0.04363346,0.07996433,0.04119492,0.01914434,0.57609846,0.07014807,0.06778018,0.10203623
54,lemma_V455_SHampanskoe_(My.txt,0.10164563,0.07633068,0.18509276,0.25855181,0.09683665,0.08395106,0.08411331,0.11347808
55,lemma_V456_Kukharka_zhenit.txt,0.16597538,0.09012231,0.10577093,0.04606243,0.07755015,0.29101183,0.03982977,0.18367719
56,lemma_V457_Stena.txt,0.13153913,0.08784988,0.08079801,0.12768921,0.03348632,0.26882656,0.13176482,0.13804606
57,lemma_V458_Posle_benefisa_.txt,0.04085601,0.10456724,0.03418804,0.03040774,0.04783206,0.23521736,0.45755628,0.04937525
58,lemma_V459_K_svadebnomu_Se.txt,0.0779075,0.04848261,0.10128872,0.41885727,0.08851934,0.09671078,0.08157932,0.08665446
59,lemma_V460_Zapiska.txt,0.11250322,0.09644299,0.05584106,0.251388,0.11510889,0.10370887,0.08551077,0.1794962
60,lemma_V461_Obschee_obrazov.txt,0.11401725,0.03944193,0.04074402,0.05184385,0.10966815,0.11884979,0.45151387,0.07392114
61,lemma_V462_Vrachebnye_sove.txt,0.07739615,0.14059346,0.09016851,0.12217237,0.09890413,0.11685557,0.19592743,0.15798239
62,lemma_V463_Mneniya_po_povo.txt,0.18269253,0.07988012,0.04604452,0.33702714,0.03902538,0.07619035,0.13144793,0.10769203
63,lemma_V464_Dachniki.txt,0.14362112,0.11583857,0.07842423,0.06380702,0.33610815,0.12594879,0.06582729,0.07042484
64,lemma_V465_Sredstvo_ot_zap.txt,0.03888736,0.38100187,0.05782955,0.03922039,0.16818864,0.09758898,0.1350789,0.08220431
65,lemma_V466_Vizitnye_kartoc.txt,0.13218346,0.05784727,0.12002049,0.30257657,0.05699749,0.07815717,0.10850561,0.14371195
66,lemma_V467_Sonnaya_odur.txt,0.0966651,0.07828716,0.38448425,0.06974296,0.11332197,0.12446286,0.07540368,0.05763201
67,lemma_V468_Domashnie_sreds.txt,0.08796556,0.06266054,0.10710728,0.1023197,0.11713658,0.12979497,0.27475465,0.11826071
68,lemma_V469_Dorogaya_sobaka.txt,0.05724017,0.06248113,0.05369763,0.05112563,0.03927016,0.58721627,0.11122348,0.03774553
69,lemma_V470_Kontrabas_i_fle.txt,0.05930744,0.04358887,0.12876371,0.05042019,0.34545284,0.19411059,0.10840026,0.06995609
70,lemma_V471_Rukovodstvo_dly.txt,0.02141579,0.03635001,0.08642977,0.62085812,0.04210019,0.04104156,0.08945891,0.06234566
71,lemma_V472_Ninochka_(Roman.txt,0.05114828,0.09599801,0.0610161,0.19907575,0.10745608,0.34470627,0.03122816,0.10937134
72,lemma_V473_Pisma.txt,0.05733717,0.06092589,0.0484935,0.4002142,0.09002677,0.04070156,0.13617947,0.16612145
73,lemma_V474_Vverkh_po_lestn.txt,0.07832072,0.04312596,0.07554114,0.11913998,0.09357467,0.14441069,0.16597137,0.27991546
74,lemma_V475_Taper.txt,0.05462662,0.08678459,0.06976601,0.08440838,0.13091417,0.43984114,0.05213899,0.08152011
75,lemma_V476_Pisatel.txt,0.05476232,0.03699601,0.05385358,0.12102732,0.06471874,0.06507342,0.46640688,0.13716174
76,lemma_V477_Peresolil.txt,0.10376797,0.55905945,0.02487668,0.03335832,0.07080527,0.11656977,0.05705757,0.03450497
77,lemma_V478_Bez_mesta.txt,0.04280102,0.09417294,0.06660422,0.15781075,0.06830844,0.09302289,0.15939448,0.31788524
78,lemma_V479_Brak_cherez_101.txt,0.05998042,0.02856969,0.04298527,0.48298848,0.07656011,0.08723977,0.05936617,0.1623101
79,lemma_V480_Starost.txt,0.05400258,0.2090699,0.07548142,0.27170755,0.06974748,0.12604515,0.10894354,0.08500237
80,lemma_V481_Gore.txt,0.19178286,0.41012193,0.04565444,0.02915616,0.17350823,0.05605164,0.04735925,0.04636549
81,lemma_V482_Nu_publika.txt,0.50619882,0.04693331,0.08244512,0.01875064,0.15154706,0.08135597,0.07290112,0.03986795
82,lemma_V483_Tryapka_(Scepka.txt,0.06847231,0.0409939,0.05494604,0.04050335,0.06506507,0.05945874,0.0854899,0.58507068
83,lemma_V484_Moya_beseda_s_E.txt,0.12872819,0.05392745,0.09620851,0.30270918,0.05697878,0.09534009,0.17880026,0.08730753
84,lemma_V485_KHudozhestvo.txt,0.11108312,0.11822965,0.54904147,0.04969064,0.02705686,0.02814151,0.04220797,0.07454879
85,lemma_V486_Strazha_pod_str.txt,0.35355954,0.14492179,0.0379963,0.05215294,0.09537591,0.18195517,0.07230213,0.06173622
86,lemma_V487_Svyataya_prosto.txt,0.07828892,0.03436127,0.03074257,0.03372111,0.05838271,0.53824071,0.12623819,0.10002451
87,lemma_V488_SHilo_v_meshke.txt,0.33207345,0.15902766,0.0524611,0.04014713,0.04959642,0.29721491,0.04139449,0.02808483
88,lemma_V489_Mari_d_elle.txt,0.04365201,0.07835359,0.10285885,0.06757325,0.12237504,0.13129738,0.12213204,0.33175783
89,lemma_V490_Antreprener_pod.txt,0.03032139,0.06776038,0.03766249,0.04894613,0.16561466,0.08043725,0.13622145,0.43303625
90,lemma_V491_Vosklicatelnyi_.txt,0.5400437,0.03545554,0.04239928,0.0338519,0.16775227,0.05127686,0.05038822,0.07883224
91,lemma_V492_Zerkalo.txt,0.05359851,0.15204701,0.10239169,0.06578871,0.47112508,0.03707405,0.03368107,0.08429387
92,lemma_V493_Moi_zheny_(Pism.txt,0.04361848,0.06848277,0.09119399,0.39829555,0.10347867,0.09090868,0.08544146,0.11858039
93,lemma_V494_Noch_na_kladbis.txt,0.05548862,0.16373201,0.06896828,0.11241599,0.44598209,0.07297164,0.03482141,0.04561996
94,lemma_V495_Konkurs.txt,0.09297755,0.08831015,0.04601911,0.41241302,0.04669117,0.08902842,0.08371997,0.1408406
95,lemma_V496_Neudacha.txt,0.04946493,0.07765665,0.09791251,0.07695323,0.12267881,0.0829607,0.07251405,0.41985911
96,lemma_V497_Nadul_(Ochen_dr.txt,0.08628399,0.06908168,0.08315069,0.21458856,0.07000795,0.1918781,0.15928724,0.12572179
97,lemma_V498_Intelligentnoe_.txt,0.21589293,0.04477028,0.03714879,0.04825742,0.02020141,0.15772546,0.4097784,0.0662253
